Design Code,Design Name,GenderTag,DesignCategory,height_mm,width_mm,size_prompt_note,ItemCategory,sellingPrice,Image link,Link,designPageURL,design_sizes,seo_image_path_hint
BINS0639R18,The Gigi Ring,Female,Rings,23,16.12,face_height_mm=23.0; face_width_mm=16.12,Diamond Studded,"172,687.00","https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0639R18_YAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-71114.png",https://www.bluestone.com/rings/the-gigi-ring~64382.html,https://www.bluestone.com/rings/the-gigi-ring~64382.html,,ProductImages/seo images/Rings/The Gigi Ring.png
BINS0780C08,The Ninetta Mangalsutra Necklace,Female,Mangalsutra Chains,9.84,9.84,face_height_mm=9.84; face_width_mm=9.84,Diamond Studded,"113,390.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BINS0780C08_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-71667.png",https://www.bluestone.com/mangalsutra+chains/the-ninetta-mangalsutra-necklace~97026.html,https://www.bluestone.com/mangalsutra+chains/the-ninetta-mangalsutra-necklace~97026.html,,ProductImages/seo images/Mangalsutra Chains/The Ninetta Mangalsutra Necklace.png
BIPM0001H28,The Rohal Huggie Earrings,Female,Earrings,16,4.8,face_height_mm=16.0; face_width_mm=4.8,Diamond Studded,"76,004.00","https://kinclimg5.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPM0001H28_YAA18DIG6SYEMXXXX_ABCD00-PICS-00004-1024-79820.png",https://www.bluestone.com/earrings/the-rohal-huggie-earrings~21864.html,https://www.bluestone.com/earrings/the-rohal-huggie-earrings~21864.html,,ProductImages/seo images/Earrings/The Rohal Huggie Earrings.png
BIPM0017R18,The Malibu Ring,Female,Rings,21.59,8.32,face_height_mm=21.59; face_width_mm=8.32,Diamond Studded,"165,917.00","https://kinclimg4.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPM0017R18_WAA18DIG6XXXXXXXX_ABCD00-PICS-00001-1024-71112.png",https://www.bluestone.com/rings/the-malibu-ring~2321.html,https://www.bluestone.com/rings/the-malibu-ring~2321.html,,ProductImages/seo images/Rings/The Malibu Ring.png
BIPN0818A41,The Zamen Nazariya Anklet,Female,Anklets,230,8.27,"length_mm=230.0; cross_section_or_width_mm=8.27; use width for worn-scale, length as bracelet span",Gemstone Studded,"39,247.00","https://kinclimg0.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPN0818A41_YAA18BEEYXXXXXXXX_ABCD00-PICS-00000-1024-81499.png",https://www.bluestone.com/anklets/the-zamen-nazariya-anklet~108030.html,https://www.bluestone.com/anklets/the-zamen-nazariya-anklet~108030.html,,ProductImages/seo images/Anklets/The Zamen Nazariya Anklet.png
BIPN0880H218,The Nettile Huggie Earrings,Female,Earrings,14.39,7.8,face_height_mm=14.39; face_width_mm=7.8,Diamond Studded,"191,169.00","https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPN0880H218_RAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-80183.png",https://www.bluestone.com/earrings/the-nettile-huggie-earrings~108215.html,https://www.bluestone.com/earrings/the-nettile-huggie-earrings~108215.html,,ProductImages/seo images/Earrings/The Nettile Huggie Earrings.png
BIPN0987N07,The Rapett Evil Eye Charm Necklace,Female,Necklaces,18.75,11.52,face_height_mm=18.75; face_width_mm=11.52,Gemstone Studded,"142,406.00","https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPN0987N07_YAA18SYBSXXXXXXXX_ABCD00-PICS-00003-1024-79340.png",https://www.bluestone.com/necklaces/the-rapett-evil-eye-charm-necklace~114824.html,https://www.bluestone.com/necklaces/the-rapett-evil-eye-charm-necklace~114824.html,,ProductImages/seo images/Necklaces/The Rapett Evil Eye Charm Necklace.png
BIPO0730V39,The Kricia Charm Bracelet,Female,Bracelets,165.1,12.5,"length_mm=165.1; cross_section_or_width_mm=12.5; use width for worn-scale, length as bracelet span",Diamond Studded,"91,240.00","https://kinclimg1.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0730V39_YAA18DIG6SYEMSYBS_ABCD00-PICS-00000-1024-52474.png",https://www.bluestone.com/bracelets/the-kricia-charm-bracelet~75605.html,https://www.bluestone.com/bracelets/the-kricia-charm-bracelet~75605.html,,ProductImages/seo images/Bracelets/The Kricia Charm Bracelet.png
BIPO0770U26,The Ensy Evil Eye Watch Charm,Unisex,Watch Accessory,6,11.4,face_height_mm=6.0; face_width_mm=11.4,Gemstone Studded,"10,326.00","https://kinclimg3.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0770U26_YAA14BEEYXXXXXXXX_ABCD00-PICS-00004-1024-85341.png",https://www.bluestone.com/watch+accessory/the-ensy-evil-eye-watch-charm~79539.html,https://www.bluestone.com/watch+accessory/the-ensy-evil-eye-watch-charm~79539.html,,ProductImages/seo images/Watch Accessory/The Ensy Evil Eye Watch Charm.png
BIPO0783P11,The Ixea Evil Eye Pendant,Female,Pendants,11.74,11.74,face_height_mm=11.74; face_width_mm=11.74,Diamond Studded,"18,051.00","https://kinclimg8.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0783P11_YAA18DIG6XXXXXXXX_ABCD00-PICS-00004-1024-56793.png",https://www.bluestone.com/pendants/the-ixea-evil-eye-pendant~82777.html,https://www.bluestone.com/pendants/the-ixea-evil-eye-pendant~82777.html,,ProductImages/seo images/Pendants/The Ixea Evil Eye Pendant.png
BIPO0783P12,The Melene Evil Eye Pendant,Female,Pendants,8.18,13.12,face_height_mm=8.18; face_width_mm=13.12,Diamond Studded,"9,508.00","https://kinclimg7.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0783P12_YAA14DIG6XXXXXXXX_ABCD00-PICS-00004-1024-56760.png",https://www.bluestone.com/pendants/the-melene-evil-eye-pendant~82769.html,https://www.bluestone.com/pendants/the-melene-evil-eye-pendant~82769.html,,ProductImages/seo images/Pendants/The Melene Evil Eye Pendant.png
BIPO0945V20,The Fonseca Bracelet For Him,Male,Bracelets,11.52,190.5,"length_mm=190.5; cross_section_or_width_mm=11.52; use width for worn-scale, length as bracelet span",Diamond Studded,"646,695.00","https://kinclimg9.bluestone.com/f_jpg,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0945V20_YAA18DIG6SYSBXXXX_ABCD00-PICS-00000-1024-87481.png",https://www.bluestone.com/bracelets/the-fonseca-bracelet-for-him~116367.html,https://www.bluestone.com/bracelets/the-fonseca-bracelet-for-him~116367.html,,ProductImages/seo images/Bracelets/The Fonseca Bracelet For Him.png
